Phylum	Class	Order	Family	Genus	species	Common name	NCBI taxon ID	Genome accession #	Bioproject #	DOI of manuscript 	Submission date	Number of genomes for the species	Assembled length	Contig N50	Estimated genome size	Sequencing coverage	Assembler	Sequencing technology	Read length	BUSCO % complete (combined) 	BUSCO % complete and singly copy 	BUSCO  % complete and duplicated 	BUSCO  % fragmented 	BUSCO  % missing 	Chromosome number 	Ploidy number	Submitting institution 	Country of submission	Continent of submission	Domestication status
Tracheophyta	Magnoliopsida	Actinidiaceae	Actinidia	Actinidia	eriantha	kiwifruit				doi: 10.1093/gigascience/giz027	04/04/19	1	690.400.000	539.200		53	Canu v. 1.7	"PacBio; Illumina"	long						29	2		China and USA	Multiple-Asia and North America	Domesticated
Tracheophyta	Magnoliopsida	Alismatales	Araceae	Colocasia	esculenta		4460	GCA_014218235.1	PRJNA587719	DOI: 10.1111/1755-0998.13239	17/08/20	3	2405846852	400000	674512885	114	FALCON v. 1.5	"Oxford Nanopore PromethION; PacBio RSII"	long	74,1	71,6	2,5	8,1	17,8			Jiangsu Academy of Agricultural Sciences	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Alismatales	Araceae	Spirodela	intermedia	duckweed				doi: 10.1038/s41598-020-75728-9	05/11/20	2	136.600	N/A (only scaffold N50 given in paper)	162000000	110	MaSuRCA 	"Oxford Nanopore; Illumina"	long	96,1					18	2	Leibniz Institute of Plant Genetics and Crop Plant Research	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Alismatales	Araceae	Spirodela	polyrhiza	great duckweed	29656	GCA_013350415.1	PRJNA611786		16/06/20	6	137175874	5430887	43446306	30	Miniasm v. 0.3-r179	Oxford Nanopore GridION	long	86	85,4	0,6	5,5	8,5	80	4	J. Craig Venter Institute	USA	North America	Wild
Tracheophyta	Magnoliopsida	Alismatales	Araceae	Wolffia	australiana		161112	GCA_013350325.1	PRJNA615235		16/06/20	2	393842532	251357	115180651	91	Canu v. 1.5		long	77,8	77,1	0,7	9,7	12,5			Salk Institute for Biological Studies	USA	North America	Wild
Tracheophyta	Magnoliopsida	Alismatales	Lemna	minor						 doi: 10.1186/s13068-015-0381-1	25/11/15		472000000	20900	481000000	400	SOAPdenovo	Illumina HiSeq	short									Belgium	Europe	Wild
Tracheophyta	Magnoliopsida	Alismatales	Zosteraceae	Zostera	marina		29655	GCA_001185155.1	PRJNA41721		22/07/15	1	203913826	79958	164944372	47,7	ARACHNE v. 20071016HA	"Illumina MiSeq; Illumina HiSeq"	short	86,3	85,1	1,2	4,2	9,5	12	2	JGI-PGF	USA	North America	Wild
Tracheophyta	Magnoliopsida	Alismatales	Zosteraceae	Zostera	muelleri	seagrass				doi: 10.1104/pp.16.00868	03/07/16	1	657.815.437	14.953		39	VelvetOptimizer	Illumina	short	77					12	2	School of Agriculture and Food Sciences, University of Queensland	Australia	Oceania	Wild
Tracheophyta	Magnoliopsida	Alismatales	Zosteraceae	Zostera	nigricaulis		1181297	GCA_009812395.1	PRJNA562570		31/12/19	1	891077439	192361	279696663	50	MaSuRCA v. 3.3.3		long	83,7	48,7	35	3,3	13			Deakin University	Australia	Oceania	Wild
Tracheophyta	Magnoliopsida	Amborellales	Amborellaceae	Amborella	trichopoda		13333	GCA_000471905.1	PRJNA212863		30/09/13	2	706332640	29332	503914054				short	90,5	89,5	1	2,9	6,6	26		Amborella Genome Sequencing Project	USA	North America	Wild
Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Apium	graveolens		4045	GCA_009905375.1	PRJNA593940	https://doi.org/10.1038/s41438-019-0235-2	28/01/20	2	3332577507	790578	2262672659	101,61	Canu v. 1.8	"Illumina; PacBio; HiC; 10x"	long	93,7	89,3	4,4	1,2	5,1			North China University of Science and Technology	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Centella	asiatica	Asiatic pennywort	48106	GCA_014636745.1	PRJNA642665		18/09/20	1	430216894	64676	120041291	280	Supernova v. 2.1.1	"10x genomics; Hi-C"	long	95,9	92,6	3,3	1,1	3			National Center for Genetic Engineering and Biotechnology (BIOTEC)	Thailand	Asia	Cultivated
Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Coriandrum	sativum 	coriander/cilantro				10.1111/pbi.13310	04/12/19	1		604.130		271	not given	"PacBio; 10x genomics"	long						11	2	School of Life Sciences, North China University of Science and Technology	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	carota		79200	GCA_001625215.1	PRJNA268187		24/05/16	2	421101997	56299	346980953	186	"SOAPdenovo v. 2.04; GapCloser for SOAPdenovo v. 1.12; integration with linkage maps v. NOV-2013"	"Illumina HiSeq; Roche 454; Sanger"	short	95,1	91,3	3,8	1,5	3,4	18	2	USDA ARS	USA	North America	Wild
Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Foeniculum	vulgare	fennel	48038	GCA_003724115.1	PRJNA419638	https://doi.org/10.1007/s11032-018-0884-0	13/11/18	1	1010971190	1888	318978141	53	SOAPdenovo v. Jan-2017	Illumina HiSeq	short	71,6	68,6	3	9,6	18,8			University of Padua	Italy	Europe	Domesticated
Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Oenanthe	javanica		49556	GCA_008931105.1	PRJNA483449		09/10/19	1	1278511736	13093	382827202	36,5	SOAPdenovo v. 2	Illumina HiSeq	short	89,9	38,4	51,5	4,2	5,9			Nanjing Agricultural University	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Panax	ginseng					https://doi.org/10.1093/gigascience/gix093	05/10/17	2	2999700459	21977	3500000000	112	SOAPdenovo2	Illumina HiSeq	short								China Academy of Chinese Medical Sciences,	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Panax	notoginseng		44586	GCA_014296215.1	PRJNA632433		24/08/20	1	2263674282	145000	614793913	84	"Canu v. 1.7; SmartDenovo v. 1.0"		long	85,4	79,9	5,5	5,3	9,3			BGI	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Arecales	Arecaceae	Calamus	simplicifolius		746888	GCA_900491605.1	PRJEB24031		01/07/18	1	1960809755	136876	586657069	270			long	83,3	73	10,3	5,5	11,2			CNGB	China	Asia	Wild
Tracheophyta	Magnoliopsida	Arecales	Arecaceae	Cocos	nucifera		13894	GCA_006176705.1	PRJNA483845	DOI: 10.1534/g3.119.400215	10/06/19	3	2102417611	163614	643840708	50	"SPARSE v. JUN-2016; DBG2OLC v. JUN-2016; HiRise v. MAY-2017"	"Illumina MiSeq; PacBio RSII; HiRise pipeline"	long	90,1	84,7	5,4	2,2	7,7	32	2	The Coconut Genomics Program - Philippine Genome Center	Philippines	Oceania	Domesticated
Tracheophyta	Magnoliopsida	Arecales	Arecaceae	Daemonorops 	jenkinsiana					 doi: 10.1093/gigascience/giy097	01/09/18	1	1270000000	81500	1610000000	266	MECAT, FALCON	Illumina and PacBio	long								International Center for Bamboo and Rattan	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Arecales	Arecaceae	Elaeis	guineensis	African oil palm	51953	GCA_015461965.1	PRJNA636092	 doi:10.3390/plants9111476	13/11/20	4	1209420378	12352	255647576	16	ALLMAPS v. JAN-2020	Linkage mapping		87,9	82,8	5,1	3,1	9			Sime Darby Plantation Technology Centre Sdn Bhd	Malaysia	Asia	Domesticated
Tracheophyta	Magnoliopsida	Arecales	Arecaceae	Elaeis	oleifera	American oil palm	80265	GCA_000441515.1	PRJNA183707	https://doi.org/10.1038/nature12309	26/07/13	2	1402725009	8445	315888319	16	Newbler v. 2.6	454	short	57,6	56,1	1,5	1,70E+01	25,4			Orion Genomics	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Arecales	Arecaceae	Phoenix	dactylifera	date palm	42345	GCA_009389715.1	PRJNA322046	doi: 10.1038/s41467-019-12604-9	04/11/19	5	772315838	897195	217947609	100	Falcon v. 2017.06.28-18.01-py2.7-ucs4	PacBio	long	92,1	80,7	11,4	2,2	5,7	36	2	The University of Arizona	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Asparagales	Amaryllidaceae	Allium	sativum	garlic	4682	GCA_014155895.1	PRJNA606385	https://doi.org/10.1016/j.molp.2020.07.019	11/08/20	1	16559448187	193988	4312529400	97,9	FALCON v. 1.0	PacBio Sequel	long						16	2	Chinese Academy of Agricultural Sciences	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Asparagales	Asparagaceae	Asparagus	officinalis	garden asparagus	4686	GCA_001876935.1	PRJNA317340	https://doi.org/10.1038/s41467-017-01064-8	06/02/17	2	1187538024	46553	837162382	123	"SOAPdenovo2 v. r240; PBjelly v. 14.9.9"	Illumina HiSeq	short	81,5	79,1	2,4	6,3	12,2	20	2	University of Georgia	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Asparagales	Asparagaceae	Asparagus	setaceus	asparagus fern	272863	GCA_012295165.1	PRJNA564485		15/04/20	1	710151787	1367059	185986215	156	Canu v. 1.8	Oxford Nanopore GridION	long	84,4	80,9	3,5	3,5	12,1			Henan Normal University	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Asparagales	Asparagaceae	Dracaena	cambodiana					https://doi.org/10.1371/journal.pone.0209258	14/12/18	1	1050000000	1870	1120000000		SOAPdenovo2 v2	Illumina HiSeq	short								Chinese Academy of Tropical Agricultural Sciences	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Asparagales	Asphodelaceae	Aloe	vera					DOI:https://doi.org/10.1016/j.isci.2021.102079	20/01/21	1	12930000000	14600	13630000000		ABySS v2.1.5 	Oxford Nanopore and Illumina	long								Indian Institute of Science Education and Research Bhopal	India	Asia	Cultivated
Tracheophyta	Magnoliopsida	Asparagales	Orchidaceae	Apostasia	shenzhenica		1088818	GCA_002786265.1	PRJNA310678		17/11/17	1	348733136	80069	252718717	455,49	"AllPaths v. 49292; Pbjelly v. 14.1; fragscaff v. 140324"	"Illumina; PacBio"	long	84,8	84,1	0,7	6,7	8,5			Shenzhen Key Laboratory for Orchid Conservation and UtilizationThe National Orchid Conservation Center of China	China	Asia	Wild
Tracheophyta	Magnoliopsida	Asparagales	Orchidaceae	Dendrobium	catenatum		906689	GCA_001605985.2	PRJNA262478		12/12/17	2	1104107363	51736	879736151	202	platanus v. 1.2.1	Illumina HiSeq	short	80,6	78,6	2	5,6	13,8			The National Orchid Conservation Center of China, and The Orchid Conservation and Research Center of Shenzhen	China	Asia	Wild
Tracheophyta	Magnoliopsida	Asparagales	Orchidaceae	Dendrobium	officinale					DOI:https://doi.org/10.1016/j.molp.2014.12.011	23/12/14	1	1660000000	9572	1270000000		SOAPdenovo	Illumina HiSeq	short								Jilin University,	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Asparagales	Orchidaceae	Gastrodia	elata		2003741	GCA_002966915.1	PRJNA386713		02/03/18	1	1060984162	97233	327395723	150	AllPaths v. 44080	Illumina	short	63	62,1	0,9	4,5	32,5			China Academy of Chinese Medical Sciences	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Asparagales	Orchidaceae	Phalaenopsis	aphrodite		212056	GCA_003013225.1	PRJNA383284		21/03/18	1	1025096742	23319	293101063	155	AllPaths v. Dec-2014	"Illumina HiSeq; Illumina GAIIx"	short	85,1	84	1,1	3,5	11,4	38	2	Academia Sinica	Taiwan	Asia	Wild
Tracheophyta	Magnoliopsida	Asparagales	Orchidaceae	Phalaenopsis	equestris		78828	GCA_001263595.1	PRJNA192198		07/08/15	2	1064051384	21144	287314012	99,5	SOAPdenovo v. 2.2	Illumina HiSeq	short	78,3	76,7	1,6	6,1	15,6	38	2	BGI-SZ	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Asparagales	Orchidaceae	Phalaenopsis	hybrid		200642	GCA_002079205.1	PRJNA271641		04/04/17	1	2687664729	23445	726535487	90	Velvet v. 1.2.09	Illumina HiSeq	short	60,4	46,8	13,6	10,3	29,3			National Pingtung University of Science and Technology	Taiwan	Asia	Cultivated
Tracheophyta	Magnoliopsida	Asparagales	Orchidaceae	Vanilla	planifolia	cultivated vanilla	51239	GCA_016413885.1	PRJNA668740	https://doi.org/10.1038/s43016-020-00197-2	22/12/20	3	744191894	528051	539494676	50	"Miniasm v. v0.3-r179; Minimap2 v. v2,11-r797; FALCON-Phase v. v2; Proximo scaffolding platform v. b4869cc"	"Oxford Nanopore; Illumina"	long	78,9	74,8	4,1	6,5	14,6		2	Elo Life Systems	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	annua	sweet wormwood	35608	GCA_014162995.1	PRJNA280557		11/08/20	2	1793396406	20135	513008900	10	MIRA v. 2.3	Illumina	short	93	62,6	30,4	1,2	5,8	18	2	Soochow University	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Carthamus	tinctorius	safflower	4222	GCA_001633085.1	PRJNA313459		27/04/16	1	661937708	3410	222352588	21	SOAPdenovo v. 2.01	Illumina HiSeq	short	68,3	66,6	1,7	18	13,7	24	2	University of Georgia	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Chrysanthemum	nankingense					DOI:https://doi.org/10.1016/j.molp.2018.10.003	17/10/18	1	2530000000	130700	3070000000		Canu (v1.6)	Oxford Nanopore and Illumina	long 								China Academy of Chinese Medical Sciences	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Chrysanthemum	seticuspe		1111766	GCA_004359105.1	PRJDB5536		05/02/19	1	2721839164	7793	786385642	96	"SOAPdenovo v. 2.0.4; SSPACE v. 2.0; GapCloser v. 1.10; GapFiller v1-10"	"Illumina HiSeq2000; Illumina MiSeq"	short	92	84,4	7,6	2,3	5,7			Kazusa DNA Research Institute	Japan	Asia	Cultivated
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Conyza 	canadensis					DOI: 10.1104/pp.114.247668	01/11/14		344880000	20764	355000000			PacBio, Illumina, 454	long									USA	North America	Wild
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cynara	cardunculus	artichoke	59895	GCA_001531365.1	PRJNA238069	https://doi.org/10.1038/srep19427	17/04/18	2	725197765	19399	507479476	80	AllPaths v. 41684	Illumina HiSeq	short	95,3	91,3	4	1,9	2,8			Compositae Genome Project	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Erigeron	breviscapus					doi: 10.1093/gigascience/gix028	01/06/17	1	1200000000	18800	1520000000		MaSuRCA, DBG2OLC, Minimus2	PacBio and Illumina	long 								Yunnan Agricultural University	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Erigeron	canadensis	horseweed	72917	GCA_010389155.1	PRJNA586872		11/02/20	2	426223753	1620735	122258536	248	"CANU v. 1.8; Proximo v. 2.0"	"PacBio; Illumina; Hi-C"	long	95,2	92	3,2	1,5	3,3			Agriculture and Agrifood Canada	Canada	North America	Feral
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Helianthus	annuus	common sunflower	4232	GCA_002127325.2	PRJNA345532		13/07/20	2	3009595538	2005037	2095853742	100	"CANU v. 1.3; CANU v. 1.4; FALCON v. 0.7; Bionano-Solve v. 3.2.1_04122018"	PacBio RSII	long	92,2	84,4	7,8	1,6	6,2	34	2	International Consortium for Sunflower Genomics	France	Europe	Domesticated
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Lactuca	saligna		75948	GCA_902860255.1	PRJEB35809		10/07/20	1	2165762035	86837	7104246155	2553				88,9	86,9	2	1,4	9,7	18	2	WAGENINGEN UNIVERSITY	Neatherlands	Europe	Wild relative
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Lactuca	sativa	cultivated lettuce	4236	GCA_900243165.1	PRJEB21679	DOI: 10.1016/j.jbiotec.2017.12.021	02/01/18	5	2224429638	16156	678984495	100			short	70,3	67,9	2,4	5,9	23,8			CEBITEC	Germany	Europe	Domesticated
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Mikania	micrantha	bittervine	192012	GCA_009363875.1	PRJNA528368		28/10/19	1	1790643622	1353263	1279044536	134	"Canu v. 1.6; FALCON v. 1.2.0; FALCON-Unzip v. 1.1.1"	"PacBio RSII; PacBio Sequel"	long	89	76,1	12,9	2,7	8,3			Agricultural Genomics institute at Shenzhen	China	Asia	Feral
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Silphium	perfoliatum	cup-plant	53588	GCA_900538075.1	PRJEB28201		05/12/18	1	121712148	125	50893282	375			short	0	0	0	0	100			HEINRICH-HEINE UNIVERSITY	Germany	Europe	Cultivated
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Silybum	marianum	holy thistle	92921	GCA_001541825.1	PRJNA251972		26/01/16	1	1477574977	6967	464229113	96	Celera Assembler v. MAY-2015	"Illumina Hiseq; PacBio"	long	32,4	28,4	4	7,7	59,9	34		Jiangnan University	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Stevia	rebaudiana		55670	GCA_009936405.1	PRJNA436363		27/01/20	1	411383069	559419	133867767	116	SPAdes v. 2019	Illumina	short	80,7	77,9	2,8	8,3	11	22		IRIDIAN GENOMES	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	cenerariifolium					https://doi.org/10.1038/s41598-019-54815-6	03/12/19		7710571398	8078	7100000000		SOAPdenovo and Platanus	Illumina HiSeq 	short								Suntory Foundation for Life Sciences	Japan	Asia	Wild
Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Taraxacum	kok-saghyz					https://doi.org/10.1093/nsr/nwx101			1290000000	47630	1180000000		smartdenovo	PacBio and Illumina	long								Chinese Academy of Sciences	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Codonopsis	lanceolata		103999	GCA_013146195.1	PRJNA627046		22/05/20	1	1347052323	82878	861116092	69,4	"Canu v. 1.71; SMARTdenovo v. 2020-01-14"	"Illumina HiSeq; Oxford Nanopore GridION"	long	95,5	90,1	5,4	1,7	2,8			Rural Development Administration	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Platycodon	grandiflorus	balloon-flower	94286	GCA_004681165.1	PRJNA526590		05/04/19	1	680177651	58279	205303692	480,2	"SOAPdenovo2 v. 2.04; Celera Assembler v. 8.1; GARM v. 0.7.5; CAP3 v. 02-10-2015"	Illumina HiSeq	short	93,3	78,4	14,9	2,1	4,6			Theragen Etex Bio Institute	Korea	Asia	Wild
Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Echium	plantagineum		113446	GCA_003412495.2	PRJNA386536		31/05/19	1	349027617	313808	99113377	115	"MECAT v. 1.0; LACHESIS v. 1.0"	"PacBio Sequel; Illumina NovaSeq"	long	95,6	66,5	29,1	0,7	3,7			Nanjing University	China	Asia	Feral
Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Lithospermum	erythrorhizon					https://doi.org/10.1038/s41438-020-0301-9	01/06/20		367405101	314306	369340000		"Abyss v2.1.5; DBG2OLC; Pilon v1.23"	Illumina and Oxford nanopore 	long 								Purdue University	USA	North America	Natural commodity
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Aethionema	arabicum		228871	GCA_000411095.1	PRJNA202984		14/06/13	1	192487774	10972	47600548	60	"Ray v. 1.7; SoapDeNovo v. 1.05"	Illumina	short	98,5	96,1	2,4	0,4	1,1			McGill University	Canada	North America	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Anastatica	hierochuntica		663965	GCA_900406275.1	PRJEB26555		19/06/19	1	542343195	17038	176390159	25			short	98,6	93,3	5,3	0,6	0,8			MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis	arenosa		38785	GCA_902996965.1	PRJEB37828		07/05/20	2	164833954	60626	49945439	60			short	97,9	93,9	4	1,2	0,9	16	2	JOHN INNES CENTRE, NORWICH, UK.	United Kingdom	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis	halleri		63677	GCA_900078215.1	PRJEB12914		29/09/16	2	196243198	15084	54277452	430				97,4	95,5	1,9	0,6	2	16	2	UNIVERSITY OF ZUERICH	Switzerland	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis	lyrata		81972	GCA_000004255.1	PRJNA41137		02/06/10	2	206667935	227391	164204751				short	98,9	97,2	1,7	0,4	0,7	16	2	JGI-PGF	USA	North America	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis	thaliana	thale cress	3702	GCA_903064285.1	PRJEB37257		28/06/20	31	118889213	14141494	185743185	69			long	98,8	98,3	0,5	0,2	1	10	2	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	Germany	Europe	Wild
Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabis	alpina	gray rockcress	50452	GCA_900128785.1	PRJEB16743		31/12/16	3	311642060	895265	740181240	86			long	98,4	96,1	2,3	0,5	1,1	16	2	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Germany	Europe	Wild
