Phylum	Class	Order	Family	Species	N_genomes	BUSCO	genome_size	technology	Ploidy
Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Dendrobium officinale	1	NA	343.71	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Gastrodia elata	2	63	298.26	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Phalaenopsis aphrodite	1	85.1	293.1	Illumina HiSeq; Illumina GAIIx	4
Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Phalaenopsis equestris	2	92.71	794.61	Illumina HiSeq	2
NA	NA	NA	NA	Phalaenopsis hybrid	NA	60.4	NA	NA	NA
Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Vanilla planifolia	3	78.9	549.63	Oxford Nanopore; Illumina	2
Streptophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia annua	2	93	2363.47	454; PacBio; Illumina	2
Streptophyta	Magnoliopsida	Asterales	Asteraceae	Carthamus tinctorius	1	68.3	222.35	Illumina HiSeq	2
Streptophyta	Magnoliopsida	Asterales	Asteraceae	Chrysanthemum seticuspe	2	92	902.11	PacBio sequel; Hiseq X	NA
NA	NA	NA	NA	Cynara cardunculus	NA	95.3	NA	NA	NA
Streptophyta	Magnoliopsida	Asterales	Asteraceae	Erigeron canadensis	3	97.76	370.91	PacBio; Illumina; Hi-C	NA
Streptophyta	Magnoliopsida	Asterales	Asteraceae	Helianthus annuus	3	97.59	2190.14	PacBio RSII	NA
Streptophyta	Magnoliopsida	Asterales	Asteraceae	Lactuca saligna	1	88.9	7121.81	NA	2
Streptophyta	Magnoliopsida	Asterales	Asteraceae	Lactuca sativa	6	98.5	2436.09	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Asterales	Asteraceae	Mikania micrantha	1	89	1299.75	PacBio RSII; PacBio Sequel	NA
Streptophyta	Magnoliopsida	Asterales	Asteraceae	Silphium perfoliatum	1	0	50.89	NA	NA
Streptophyta	Magnoliopsida	Asterales	Asteraceae	Silybum marianum	1	32.4	464.23	Illumina Hiseq; PacBio	NA
Streptophyta	Magnoliopsida	Asterales	Asteraceae	Stevia rebaudiana	1	80.7	134.13	Illumina	NA
Streptophyta	Magnoliopsida	Asterales	Campanulaceae	Codonopsis lanceolata	1	95.5	364.09	Oxford Nanopore GridION; Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Asterales	Campanulaceae	Platycodon grandiflorus	2	93.3	205.1	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Echium plantagineum	1	95.6	99.11	PacBio Sequel; Illumina NovaSeq	NA
Streptophyta	Magnoliopsida	Boraginales	Boraginaceae	Lithospermum erythrorhizon	2	NA	314.08	Illumina NovaSeq; Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Aethionema arabicum	1	98.5	47.6	Illumina	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Anastatica hierochuntica	1	98.6	176.39	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis arenosa	3	97.9	67.63	NA	2
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis halleri	4	97.4	140.47	Illumina HiSeq	2
NA	NA	NA	NA	Arabidopsis lyrata	NA	98.9	NA	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis thaliana	34	98.8	454.65	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabis alpina	3	98.4	740.18	NA	2
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabis montbretiana	1	97.4	57.63	Illumina HiSeq; Illumina MiSeq	2
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabis nemorensis	1	97.9	167.08	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabis nordmanniana	1	86.9	113.34	Illumina	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Aurinia saxatilis	1	92.9	102.19	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Barbarea vulgaris	1	94.3	49.23	Illumina; PacBio	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Biscutella auriculata	1	72.5	124.71	NA	2
NA	NA	NA	NA	Biscutella laevigata	NA	89.5	NA	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Boechera puberula	1	67.9	59.32	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Boechera retrofracta	1	99.3	64.03	Illumina MiSeq; 454; Sanger	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Boechera stricta	3	96.2	54.73	Oxford Nanopore MinION; Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica cretica	4	62.1	307.61	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica juncea	5	98.7	243.87	PacBio RSII	4
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica napus	6	99.48	867.28	Illumina HiSeq 2000	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica nigra	2	98.4	144.47	Oxford Nanopore MinION	2
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica oleracea	6	98.7	153.54	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica rapa	9	99.8	309.66	Illumina GA	2
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Camelina sativa	3	99.85	638.63	Illumina HiSeq; 454	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Capsella bursa-pastoris	1	95.6	79.89	Illumina MiSeq	4
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Capsella rubella	2	99.76	161.06	ABI 3739; Roche 454FLX	2
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Cardamine resedifolia	1	98.4	121.2	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Cochlearia officinalis	1	45.3	53.26	NA	4
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Conringia planisiliqua	1	98.9	53.67	NA	2
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Crambe hispanica	1	94.7	98.44	PacBio Sequel; PacBio RSII; Illumina HiSeq; Hi-C	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Crucihimalaya himalaica	1	99.2	72.71	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Diplotaxis tenuifolia	1	82.4	137	Illumina HiSeq	NA
NA	NA	NA	NA	Eruca vesicaria	NA	1.2	NA	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Erucastrum elatum	1	90.4	116.55	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Erysimum cheiranthoides	1	98.7	48.89	PacBio; Illumina MiSeq; Hi-C	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Erysimum cheiri	1	91.6	47.52	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Erysimum pusillum	1	73.3	58.78	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Euclidium syriacum	1	98.7	71.4	NA	2
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Eutrema heterophyllum	1	98.9	108.05	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Eutrema salsugineum	4	99.63	235.91	ABI 3730	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Eutrema yunnanense	1	98.5	121.16	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Heliophila coronopifolia	1	44.9	96.01	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Iberis amara	1	75	117.44	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Iberis pinnata	1	91.7	222.81	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Isatis lusitanica	1	75.2	65.89	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Isatis tinctoria	3	99	82.56	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Kernera saxatilis	1	98.3	46.42	NA	2
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Leavenworthia alabamica	1	97.5	45.44	Illumina	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Lepidium africanum	1	96.4	72.47	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Lepidium aucheri	1	98.5	106.37	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Lepidium campestre	1	33.8	67.51	Illumina MiSeq	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Macropodium nivale	1	93.5	97.01	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Microthlaspi erraticum	1	98.4	195.87	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Nasturtium officinale	1	98.3	68.9	NA	4
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Noccaea caerulescens	1	97.1	45.46	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Noccaea goesingensis	1	12	49.68	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Odontarrhena argentea	1	91.5	58.79	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Physaria acutifolia	1	46.9	66.39	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Physaria fendleri	1	79.6	106.99	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Physaria ovalifolia	1	27.1	95.84	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Pseudoturritis turrita	2	98.6	100.27	NA	2
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Raparia bulbosa	1	97.8	49.18	NA	NA
NA	NA	NA	NA	Raphanus raphanistrum	NA	95.9	NA	NA	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Raphanus sativus	14	99.35	624.33	Illumina; PacBio; Sanger; 454	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Schrenkiella parvula	1	98.3	40.31	454 GS FLX Titanium; Illumina GA II	NA
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Sinapis alba	1	98.7	359.59	Illumina NovaSeq 6000	3
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Sisymbrium altissimum	1	99.1	57.19	NA	2
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Sisymbrium irio	1	97.6	61.65	Illumina	4
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Thlaspi arvense	3	98.9	143.66	NA	2
Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Turritis glabra	2	99.2	53.48	NA	2
Streptophyta	Magnoliopsida	Brassicales	Caricaceae	Carica papaya	3	80.83	257.44	NA	2
Streptophyta	Magnoliopsida	Brassicales	Cleomaceae	Tarenaya hassleriana	2	98.65	239.12	Illumina Hisiq	NA
Streptophyta	Magnoliopsida	Brassicales	Moringaceae	Moringa oleifera	3	79.9	136.46	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus hypochondriacus	1	80.8	108.78	PacBio RSII	2
Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus palmeri	2	NA	126.12	PacBio RSII	NA
Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus tuberculatus	1	0	1.55	NA	NA
Streptophyta	Magnoliopsida	Caryophyllales	Chenopodiaceae	Suaeda aralocaspica	1	NA	135.4	PacBio; Illumina HiSeq; Illumina NextSeq 500	NA
Streptophyta	Magnoliopsida	Caryophyllales	Cactaceae	Carnegiea gigantea	1	87.3	310.99	Illumina	NA
Streptophyta	Magnoliopsida	Caryophyllales	Cactaceae	Lophocereus schottii	1	60.3	256.85	Illumina	NA
Streptophyta	Magnoliopsida	Caryophyllales	Cactaceae	Pachycereus pringlei	1	40.7	197.9	Illumina	NA
Streptophyta	Magnoliopsida	Caryophyllales	Cactaceae	Pereskia humboldtii	1	28.8	132.7	Illumina	NA
Streptophyta	Magnoliopsida	Caryophyllales	Cactaceae	Selenicereus undatus	1	NA	369.81	NA	NA
Streptophyta	Magnoliopsida	Caryophyllales	Cactaceae	Stenocereus thurberi	1	52.6	275.21	Illumina	NA
Streptophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Corrigiola litoralis	1	81.2	99.06	NA	NA
Streptophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Dianthus caryophyllus	1	94.8	147.33	454 GS FLX+; Illumina HiSeq1000	NA
Streptophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Silene latifolia	2	60.3	309.49	PacBio RS	NA
Streptophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Silene noctiflora	1	88.8	345.07	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Spergula arvensis	1	0.8	34.57	NA	NA
Streptophyta	Magnoliopsida	Caryophyllales	Chenopodiaceae	Bassia scoparia	1	61.4	209.99	PacBio RSII; Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Caryophyllales	Chenopodiaceae	Beta patula	1	93	150.1	Illumina HiSeq	NA
NA	NA	NA	NA	Beta vulgaris	NA	93.8	NA	NA	NA
Streptophyta	Magnoliopsida	Caryophyllales	Chenopodiaceae	Chenopodium quinoa	5	98.37	1456.84	PacBio	NA
Streptophyta	Magnoliopsida	Caryophyllales	Chenopodiaceae	Chenopodium suecicum	1	95.5	160.31	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Caryophyllales	Chenopodiaceae	Spinacia oleracea	5	97.46	956.96	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Caryophyllales	Droseraceae	Drosera capensis	1	88.9	84.17	Illumina HiSeq	4
Streptophyta	Magnoliopsida	Caryophyllales	Kewaceae	Kewa caespitosa	1	80.1	176.65	NA	NA
Streptophyta	Magnoliopsida	Caryophyllales	Limeaceae	Limeum aethiopicum	1	4.6	290.6	NA	NA
Streptophyta	Magnoliopsida	Caryophyllales	Macarthuriaceae	Macarthuria australis	1	31.8	155.77	NA	NA
Streptophyta	Magnoliopsida	Caryophyllales	Microteaceae	Microtea debilis	1	30.8	152.87	NA	NA
Streptophyta	Magnoliopsida	Caryophyllales	Molluginaceae	Pharnaceum exiguum	1	88	83.29	NA	NA
Streptophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Fagopyrum esculentum	2	92.1	382.58	Illumina HiSeq; PacBio RSII	4
Streptophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Fagopyrum tataricum	2	86.6	165.08	PacBio	NA
Streptophyta	Magnoliopsida	Caryophyllales	Simmondsiaceae	Simmondsia chinensis	3	44.5	265.96	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Celastrales	Celastraceae	Tripterygium wilfordii	3	99.01	308.4	Illumina HiSeq,PacBio	NA
Streptophyta	Magnoliopsida	Commelinales	Pontederiaceae	Pontederia paniculata	1	89.4	177.27	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Cornales	Hydrangeaceae	Hydrangea macrophylla	2	82.9	688.32	PacBio Sequel; HiSeq X Ten	NA
Streptophyta	Magnoliopsida	Cornales	Nyssaceae	Nyssa sinensis	1	89.7	750.15	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Cucurbitales	Begoniaceae	Begonia fuchsioides	1	94.6	117.85	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Benincasa hispida	4	97.85	696.6	Illumina	2
Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Citrullus lanatus	3	95.9	108.22	Illumina GAIIx; Illumina MiSeq; Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucumis melo	10	98.15	308.94	NA	2
Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucumis sativus	18	98.11	222.69	PacBio RSII; PacBio Sequel; 10X Genomics; Hi-C; Illumina	2
NA	NA	NA	NA	Cucurbita argyrosperma	NA	93.7	NA	NA	NA
Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucurbita maxima	2	98.28	269.83	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucurbita moschata	2	98.5	271.54	Illumina HiSeq	4
NA	NA	NA	NA	Cucurbita pepo	NA	96.2	NA	NA	NA
Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Lagenaria siceraria	3	94.9	85.29	Illumina HiSeq	2
Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Luffa acutangula	1	94.1	204.19	PacBio RSII	NA
Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Luffa aegyptiaca	3	95.6	211.69	PacBio RSII	NA
Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Momordica charantia	4	96.69	254.08	HiSeq2500; MiSeq	2
Streptophyta	Magnoliopsida	Cucurbitales	Datiscaceae	Datisca glomerata	1	96.5	218.95	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Dioscorea alata	2	83.4	384.45	PacBio RSII	8
NA	NA	NA	NA	Dioscorea cayenensis	NA	92	NA	NA	NA
Streptophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Dioscorea dumetorum	1	94.7	150.51	NA	2
Streptophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Dioscorea sansibarensis	1	0	0.04	NA	NA
Streptophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Dioscorea zingiberensis	1	94.1	148.94	Illumina HiSeq; PacBio SMRT	NA
NA	NA	NA	NA	Trichopus zeylanicus	NA	94.5	NA	NA	NA
Streptophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Lonicera japonica	1	NA	252.97	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia eriantha	2	85.4	201.18	PacBio	6
Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia rufa	1	89	516.73	PacBio RSII; illumina HiseqX	NA
Streptophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros lotus	2	90.5	178.51	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Ericales	Ericaceae	Arbutus unedo	1	62.6	145.61	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropa hypopitys	1	19.8	740.2	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron simsii	1	93.7	420.65	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron williamsianum	1	87.2	315.8	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium corymbosum	1	74.3	192.34	454	2
Streptophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium macrocarpon	2	53.6	410.32	Illumina GAIIx	NA
Streptophyta	Magnoliopsida	Ericales	Primulaceae	Embelia ribes	1	52.4	212.42	Illumina NextSeq 500	NA
Streptophyta	Magnoliopsida	Ericales	Primulaceae	Primula veris	1	82.5	88.83	Illumina HiSeq; Illumina MiSeq; PacBio	NA
Streptophyta	Magnoliopsida	Ericales	Primulaceae	Primula vulgaris	1	0.3	0.46	NA	2
Streptophyta	Magnoliopsida	Ericales	Sapotaceae	Argania spinosa	1	85.9	210.64	Illumina	NA
Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia sinensis	13	96.39	3130.28	Illumina Hiseq 2500; PacBio RSII	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Abrus precatorius	2	97.86	322.73	PacBio RSII	NA
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Aeschynomene evenia	1	96.1	101.34	PacBio; Illumina	NA
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Amphicarpaea edgeworthii	1	97.4	85.4	BGISeq-500; Oxford Nanopore GridION	NA
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Arachis duranensis	7	97.45	773.72	Illumina	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Arachis hypogaea	7	98.25	1943.1	PacBio	4
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Arachis ipaensis	4	96.05	993.59	Illumina	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Arachis monticola	1	94.2	657.28	PacBio; Illumina; BioNano optical	4
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Arachis stenosperma	1	95.1	339.8	PacBio Sequel; Illumina HiSeq	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cajanus cajan	4	98.77	486.79	Illumina Hiseq2000	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cercis canadensis	1	96.7	96.42	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Chamaecrista fasciculata	1	95.9	132.2	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cicer arietinum	6	98.94	407.18	Illumina Hiseq 2000	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cicer echinospermum	1	95	199.6	PacBio RSII; Illumina HiSeq	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cicer reticulatum	2	96.5	213.88	PacBio; Illumina HiSeq	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Dipteryx alata	1	11.8	118.5	Illumina MiSeq	NA
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Eperua falcata	1	20.8	85.12	NA	NA
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Glycine latifolia	1	95.5	256.52	Illumina HiSeq	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Glycine max	21	99.33	816.7	ABI 3739	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Glycine soja	5	99.25	814.04	PacBio RSII; Illumina HiSeq	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Glycine tomentella	1	95.7	535.66	Illumina HiSeq	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lotus japonicus	1	86.4	125.3	454 GS FLX Titanium; Illumina Genome Analyzer IIx	2
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lupinus albus	2	96.2	440.7	PacBio RSII; Illumina	NA
Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lupinus angustifolius	4	97.11	519.67	Illumina HiSeq 2500	NA
